sample	animal	animal.1	geno	perc.meth
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	14.7
a.946_um	ctrl.1	ctrl.1	+/+	17.6
a.946_um	ctrl.1	ctrl.1	+/+	3.2
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	23.5
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	9.1
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	14.7
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	15.2
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	11.8
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	11.8
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	20.6
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	11.8
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	17.6
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	17.6
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	17.6
a.946_um	ctrl.1	ctrl.1	+/+	12.5
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	14.7
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	3.1
a.946_um	ctrl.1	ctrl.1	+/+	3
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	3
a.946_um	ctrl.1	ctrl.1	+/+	17.6
a.946_um	ctrl.1	ctrl.1	+/+	6.1
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	9.1
a.946_um	ctrl.1	ctrl.1	+/+	6.1
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	14.7
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	11.8
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	15.2
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	11.8
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	9.1
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	26.5
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	26.5
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	14.7
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	17.6
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	23.5
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	20.6
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	11.8
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	11.8
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	3
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	3
a.946_um	ctrl.1	ctrl.1	+/+	20.6
a.946_um	ctrl.1	ctrl.1	+/+	3
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	17.6
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	11.8
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	3
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	11.8
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	11.8
a.946_um	ctrl.1	ctrl.1	+/+	9.1
a.946_um	ctrl.1	ctrl.1	+/+	12.1
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	11.8
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	6.1
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	11.8
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	15.2
a.946_um	ctrl.1	ctrl.1	+/+	11.8
a.946_um	ctrl.1	ctrl.1	+/+	17.6
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	14.7
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	6.1
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	11.8
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	20.6
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	17.6
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	17.6
a.946_um	ctrl.1	ctrl.1	+/+	9.1
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	14.7
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	11.8
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	3
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	15.2
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	14.7
a.946_um	ctrl.1	ctrl.1	+/+	3
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	14.7
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	20.6
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	3
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	11.8
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	11.8
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	11.8
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	12.1
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	17.6
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	17.6
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	14.7
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	11.8
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	17.6
a.946_um	ctrl.1	ctrl.1	+/+	11.8
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	17.6
a.946_um	ctrl.1	ctrl.1	+/+	9.1
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	11.8
a.946_um	ctrl.1	ctrl.1	+/+	14.7
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	17.6
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	11.8
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	9.1
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	11.8
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	11.8
a.946_um	ctrl.1	ctrl.1	+/+	20.6
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	26.5
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	17.6
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	14.7
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	8.8
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	11.8
a.946_um	ctrl.1	ctrl.1	+/+	0
a.946_um	ctrl.1	ctrl.1	+/+	5.9
a.946_um	ctrl.1	ctrl.1	+/+	2.9
a.946_um	ctrl.1	ctrl.1	+/+	2.9
